Regulator	Target	Score	Overall_rank
TBX19	31	0.37067404938360604	698
IRF2	31	0.3319423047319167	788
HLX	31	0.2974659959924962	870
POU3F2	31	0.2929830001581763	885
BCL6B	32	4.347287246257377	34
FOXQ1	32	1.4784985776764012	165
TBX3	32	0.908767848351616	277
FOXF2	32	0.38536419358877166	677
FOXL2	32	0.35273705435318203	733
ZNF628	33	2.739371062812958	71
ZNF205	33	2.650834782256191	73
CC2D1A	33	1.2733373649523563	198
ZNF580	33	0.6358561708042897	419
ZNF865	33	0.5977412275755368	451
ZNF768	33	0.4228363326968246	622
ZNF358	33	0.3849056599826723	678
ZNF213	33	0.3302567779042369	791
BHLHE40	34	3.260193768239649	54
STAT3	34	1.3045403117361167	193
ZNF395	34	1.2054133066998691	215
MAFF	34	0.8448193701608825	306
NFE2L3	34	0.7988651946221814	329
ENO1	34	0.34026498384721854	765
NFIL3	34	0.28093735936889425	922
TFEC	35	7.325505580948126	10
ESR1	35	0.375288584004659	692
SPI1	35	0.3409879024249957	762
IKZF1	35	0.31640874341380537	823
RUNX2	35	0.282083148634888	920
ZSCAN16	36	1.464055095933823	172
ZNF37A	36	0.9392767119514882	269
MAFF	36	0.8349400155749768	311
STOX2	36	0.8029775430635145	325
BHLHE40	36	0.7081905190238853	376
CEBPD	36	0.6683397141363061	400
ZNF510	36	0.5639487607340136	482
OLIG1	36	0.5109170576100853	530
XBP1	36	0.4005462100544324	653
ZNF704	36	0.3570330196100101	726
SOX8	36	0.3291080106756502	794
RFX5	36	0.31023288479517397	835
MYC	36	0.2764814557308479	934
MYT1L	37	6.578561309402657	13
ZBTB18	37	1.9101053007427644	117
MYT1	37	0.8198460305888967	314
ZNF70	37	0.47014766021239374	576
ZNF423	37	0.30646895797723045	849
EBF1	37	0.28704457958141705	903
ZNF583	38	2.9562119900935064	65
ZNF264	38	1.7107520593072552	139
ZNF134	38	1.596438970344244	152
ZNF234	38	1.3476744293324108	188
ZNF17	38	1.311038589280374	191
ZNF416	38	1.2730811875361179	199
ZNF615	38	1.2338474746044108	207
ZNF776	38	1.1854114940939353	219
ZNF549	38	0.7061388480637254	377
ZNF417	38	0.2879824925317674	901
ZNF211	38	0.2739004337614606	945
MYT1L	39	7.955011064939602	9
ZNF215	39	1.302166657649735	194
FOXL2	39	0.5872917021029084	460
HLF	39	0.4303445753595377	618
TBR1	39	0.37926910312632306	686
KCNIP3	39	0.36622664383393505	708
RUNX1	39	0.28890994629642497	899
NFIA	40	2.956628977489771	64
NFIX	40	0.9391063870178111	270
ZNF782	40	0.5527808925773485	493
ZBTB5	40	0.549592729405144	501
TBX18	40	0.5341182189062562	511
ZBED3	40	0.41227836580586796	639
HIC1	40	0.290626923314417	893
