GeneA,GeneB
PELI3,IRAK1
SNAPC1,SNAPC3
CETN3,POC5
SMAD2,SMURF2
CNOT2,CNOT3
NBN,ATM
UBE2I,PIAS1
LAMTOR5,LAMTOR4
NEDD8,UBE2M
PSMA1,PSMA2
RARB,RXRG
RPA1,XPA
ENG,ACVRL1
CDK2,CCNE2
FAS,FASLG
MAPK14,MAP2K6
LCP2,NCK1
PPP1CA,PPP1R2
MRTFA,SRF
PRPS1,PRPSAP1
KAT2A,ATXN7
ERCC3,GTF2H3
GTF2F1,GTF2F2
PSENEN,PSEN1
DDX39A,SARNP
PPP2CA,PPP2R5A
GRB2,LCP2
STX3,SNAP23
GCLC,GCLM
EHD1,EHD3
UBC,USP2
MAD2L1BP,CDC20
CASC3,RBM8A
RBBP4,MTA2
H2AX,MDC1
CDK8,MED21
SMAD3,ZFYVE9
WDR82,SETD1A
PCNA,PCLAF
TICAM2,TLR4
PNKP,XRCC1
LDHA,LDHB
ASF1A,UBN1
CRY2,FBXL3
FRS2,PTPN11
NCSTN,PSENEN
NCF4,NCF1
CFH,C3
EXOSC7,EXOSC1
IL13,IL13RA2
MDM2,USP7
RARA,NRIP1
UVRAG,RUBCN
IL2RB,IL2RG
BIRC2,TRAF1
KIT,PIK3R1
NBN,RBBP8
CBX8,BMI1
BCOR,PCGF1
PBX1,PKNOX1
SENP1,SUMO1
ZNF207,BUB3
AGO3,TNRC6A
MAPK6,MAPKAPK5
TRIM28,CBX5
ATF4,BTRC
ZNF567,MAP3K20
JUND,MEN1
RHEB,TSC2
FBXW5,SKP1
ASB9,ELOC
BCL9,PYGO2
DDB1,DCAF11
RFWD3,RPA1
IL1R1,IL1RAP
RGS14,GNAI1
MLLT10,DOT1L
COPZ1,COPG1
STING1,MAVS
CABIN1,UBN1
AKT1,BAD
CDKN1B,CCND3
BBS5,BBS4
NEDD4,UBE2D2
MRE11,RBBP8
CDK8,MED15
GHR,SOCS2
RAD51C,XRCC2
EIF3M,EIF3F
UBL5,SART1
PML,UBE2I
CUL4A,DCAF1
CHAF1A,CBX5
DHPS,EIF5A2
MAP3K4,MAP2K6
GNB1,GNG2
CNNM4,PTP4A2
PSMA3,PSMA6
UNC13D,RAB27A
UBA1,UBE2D2
NCAPH,NCAPG
PABPC1,PAIP2
NPPA,NPR3
TAF12,TBP
DDX20,GEMIN5
CISH,EPOR
LSM4,LSM7
CSNK1E,PER1
POLD3,POLD1
EIF3A,EIF3F
KATNB1,KATNA1
ARNTL,NPAS2
THOC2,THOC1
RPGRIP1,RPGR
RPTOR,AKT1S1
MAX,MNT
E2F5,TFDP1
CBX7,RNF2
HDAC1,MBD3
PPP1CC,PPP1R9B
DCAF11,CUL4A
AHSA1,HSP90AA1
PRKCZ,PARD6B
TRAPPC3,TRAPPC1
USP22,KAT2A
CDK5,CCND2
STK3,RASSF4
TRIM9,BTRC
TBK1,TBKBP1
CSF1,CSF1R
AFF4,MLLT1
LSM6,LSM5
PSMC1,PSMD5
STX2,SNAP23
RSPO2,ZNRF3
HUS1,RAD17
CDKN1A,CCNA2
EDC4,DCP1A
HDAC2,SAP30
COPS5,COPS7B
KAT2A,TRRAP
PDGFRB,PLCG1
HSP90AA1,PPP5C
PML,SUMO1
FGF1,FGFR4
EXOSC2,EXOSC9
PPP1CC,PPP1R2
SELENOS,DERL1
HPRT1,PRTFDC1
ARNT,SIM2
RABGEF1,RABEP1
HFE,TFRC
MDM2,UBE2D3
DRG1,ZC3H15
SMARCA2,SMARCC2
GGA2,RABEP1
RPA1,BLM
HSPB8,BAG3
METTL3,METTL14
SGTA,BAG6
DIABLO,BIRC6
TRAF6,UBE2V1
ANAPC4,ANAPC1
AKT1,GSK3A
RBBP5,KDM6A
GNB3,GNG2
RSPO1,ZNRF3
RCOR1,ZNF217
SHC1,SOS1
KPNB1,KPNA2
EFNA1,EPHA2
IQGAP1,CDC42
EXOSC7,EXOSC4
LSM5,LSM7
AGO1,TNRC6A
RBBP4,MTA1
CITED2,EP300
ANAPC2,ANAPC4
PPP1R12B,PPP1CB
STAT1,STAT3
CREBBP,NCOA3
SEC31A,SEC13
CDK7,GTF2H1
RAB27B,MLPH
WDR5,SETD1B
PPARG,NCOR1
PIGK,GPAA1
VPS28,VPS37B
CHMP1B,IST1
FGF1,FGFR3
CDC16,CDC20
BRD8,MRGBP
BAD,BCL2L2
NCAPG,NCAPD2
CHP1,SLC9A1
ELOB,CUL2
KDM6A,ASH2L
GNAQ,TBXA2R
DNM1,GRB2
EYA2,SIX1
FOS,JUNB
PDGFRB,RASA1
CD46,C3
CDK9,AFF4
AMFR,UBE2G1
SART3,USP15
GSK3B,GSKIP
FBXO4,CUL1
CD2BP2,CD2
PRKCZ,SQSTM1
BCKDHA,BCKDHB
SERPINE1,PLAU
GTF2A1,TBPL1
CDC26,CDC27
AEBP2,SUZ12
LATS2,MOB1A
ARL3,PDE6D
PPME1,PPP2R1A
CDK2,CDKN3
RARA,NCOR2
PSMC1,PSMD2
CLNS1A,SNRPD3
EZH2,JARID2
IRF9,STAT2
RING1,CBX4
KAT7,ING4
PPARG,NCOR2
SMURF2,UBE2L3
PIH1D1,RPAP3
FANCF,FANCM
LAT,PLCG1
DAO,DAOA
PSMC4,PSMC5
NEDD4,UBE2D3
COPS5,GPS1
TBL1XR1,NCOR1
EZR,SLC9A3R1
PSMD14,PSMD4
HRAS,BRAF
SETD1B,RBBP5
CDC73,WDR61
RAB11FIP1,RAB11A
PDE6D,RPGR
ATP8B1,TMEM30A
EIF3K,EIF3L
SH2D1A,CD84
NFYB,NFYC
MCL1,BID
TBK1,MAVS
PIK3C3,RUBCN
PHC1,PCGF2
CBX5,CHAF1B
TANK,TRAF2
GRB2,PTPRA
CCR4,CCL17
UBAP1,TSG101
SMAD2,SKIL
OAZ1,ODC1
RUNX1T1,NCOR1
NFKBIB,RELA
APTX,XRCC1
RCAN1,PPP3CA
KAT2A,TADA2A
THRB,NCOR1
AMBRA1,BECN1
DCC,NTN1
TDO2,ASMTL
FLT1,PGF
FOS,JUND
RAD21,SMC1A
SMARCA2,SMARCC1
NOP10,NHP2
TBL1X,NCOR1
PEX14,PEX19
NTF4,BDNF
PHC2,CBX8
EXOSC3,EXOSC4
AP1G1,AP1S2
TNNC1,TNNI1
CHP2,SLC9A1
ADRM1,PSMD1
SETD1B,ASH2L
NPPC,NPR2
IFNAR1,STAT2
MCM2,CDC7
C1orf116,HOMER1
EXOSC3,EXOSC5
RNASE1,RNH1
TANK,TRAF3
IL2RG,JAK3
PYCARD,MEFV
UBE4B,VCP
DDX6,PATL1
IL2,IL2RG
IGF2,IGFBP3
VPS41,VPS18
BOLA3,GLRX5
MED1,THRA
PPP1CB,SH2D4A
ATRX,RAD51
MID2,MID1
TARBP2,PRKRA
GATAD2A,MBD2
ATG13,RB1CC1
PAIP1,PABPC1
MCL1,BAX
INPP5D,SHC1
SLC6A3,SNCA
ADAM22,LGI1
RBBP7,MTA2
NEDD4,SCNN1B
PYCARD,AIM2
UBE2M,RBX1
LTBR,TRAF3
IFIT2,IFIT3
PYM1,RBM8A
NR1H3,RXRG
SMARCA4,ACTL6A
COPB1,COPG1
ITGB1,ITGB1BP1
SMARCA2,SMARCB1
CBFA2T3,CBFA2T2
GMPPB,GMPPA
ENY2,ATXN7L3
PCNA,CDT1
BIRC2,RIPK1
GTF2A2,TBP
PRKDC,DCLRE1C
PSMA2,PSMA4
ULK1,BECN1
KCNJ11,ABCC8
NME5,DYDC2
CDK2,SKP2
DDX20,GEMIN4
RFC2,RFC4
YAP1,PTPN14
SLC6A19,ACE2
BCOR,KDM2B
YAP1,TEAD4
MTOR,RHEB
ANXA10,EDC3
EZH1,EED
SCRIB,ARHGEF7
ERLIN1,ERLIN2
PALB2,KEAP1
CBX5,SP100
EXT1,EXT2
GRB2,BCR
VPS4A,CHMP1B
DPPA4,SH3GL1
LAIR1,PTPN6
CACYBP,SIAH1
KDM1A,PHF21A
CASP10,FADD
RPAP3,URI1
DDB1,DTL
PTK2,BCAR1
DNMT1,USP7
DDX6,DCP1A
FLII,LRRFIP1
TDG,SUMO1
PPP2CA,PPP2R2A
ABCA1,APOA1
PPP2R1A,PPP2R5D
IL10RB,IL22
UBC,STAM
H1-1,CCNE1
PFDN2,URI1
PDGFRB,PTPN11
DDB1,DCAF8
LATS1,MOB1B
BBS9,BBS1
JAML,CXADR
LRCH1,DOCK8
CD180,LY86
TTC8,BBS5
DDX20,SMN1
LTA,LTB
MRGBP,EPC1
SKA1,SKA2
CFHR1,CFHR2
GNPDA2,AMDHD2
BRPF1,ING5
ARL14EP,SETDB2
EXOC3,EXOC4
SYTL2,RAB27A
SIRPA,CD47
CBX5,SUV39H1
CSK,PAG1
STX1A,SNAP23
FANCM,FAAP100
BLNK,BTK
TLK2,ASF1B
RFWD3,RPA2
CCL7,CCR2
YAP1,TEAD3
NFKB2,BCL3
PSMC3IP,MND1
UBD,NUB1
VPS18,VPS33A
NUP62,NUP54
NDOR1,CIAPIN1
SYVN1,HERPUD1
FBXO31,CUL1
ZNF446,ZNF397
PPP4C,PPP4R4
HSP90AA1,RAF1
FBXO2,SKP1
RBCK1,TNF
FMR1,FXR1
GP1BA,GP9
WIPF1,WASL
CDC26,ANAPC2
TLR1,TLR2
UBLCP1,PSMD2
MAGOH,PYM1
KHDRBS1,SRC
LSM7,LSM2
PHETA2,OCRL
FANCA,FANCB
MCM2,MCM7
CD2AP,CBL
CDK5,CABLES1
KNL1,MIS12
RUVBL2,DPCD
SKP2,CCNA2
SLAMF6,SH2D1A
CTDSP1,CDCA3
WWC1,PTPN14
EMD,LMNA
CHEK1,CDC25A
FANCD2,FANCL
USP4,SART3
PECAM1,PTPN11
RMI2,BLM
TADA3,SGF29
ORC6,ORC2
MRFAP1,MORF4L2
UBE2I,PIAS2
PDCD6,HEBP2
KNL1,DSN1
EP300,SMAD3
NPRL2,NPRL3
AEBP2,EZH2
MED16,CDK8
ING4,JADE1
PALS1,LIN7A
TRIM69,MAGEA4
PBRM1,SMARCA4
PAX3,PER3
NCR3,NCR3LG1
PPP2R1A,PPP2R3A
DMD,DTNB
TAF7,TBP
GTF2H2,GTF2H5
RANGAP1,SUMO1
EZH1,SUZ12
KDM1B,BAP1
SEPTIN9,SEPTIN6
ECT2,RACGAP1
CDK8,MED17
SMAD3,SMURF2
CYBA,NCF1
POLD3,PCNA
KLRK1,RAET1G
CDK2,H1-5
FAN1,PMS2
FN1,ITGA5
DTL,CUL4B
AGO3,TNRC6B
NFYA,NFYC
CREB3,HCFC1
PDCD6,ANXA11
CDC42EP2,CDC42
FYB1,SKAP1
SMARCA4,SMARCD1
CD274,PDCD1
KLRC1,KLRD1
NUP54,NUP58
NCOA2,AR
TOR1A,TOR1AIP1
CTBP1,CTBP2
TGFB1,TGFBR3
RAC1,IQGAP1
PHC1,PHC2
ITK,LCP2
U2AF2,SF1
FAF1,VCP
CPSF4,FIP1L1
CDH2,CTNND1
LAMTOR2,LAMTOR1
GUCY1A1,GUCY1B1
CLTC,HIP1
BMPR1B,GDF5
HBB,HBZ
EGFR,SRC
BABAM1,UIMC1
TAL1,TCF3
JAG1,NOTCH1
UBE2K,RNF138
CSF2,CSF2RA
ARHGAP1,CDC42
FOXP4,FOXP2
MYBL2,LIN37
IL1A,IL1R2
CBX7,BMI1
COPS5,COPS4
RHOA,ARHGAP1
KAT6A,ING5
EFEMP1,SGTA
MYC,ZBTB17
ORC3,ORC5
TINF2,TERF2IP
SMARCC2,SMARCE1
SLC4A1,CA2
NCOA2,PPARG
PHC1,CBX4
KDR,NRP1
ZFPM1,GATA1
OCLN,TJP1
MED6,MED10
CABIN1,HIRA
MCM4,MCM6
ARPC4,ARPC5L
PTGFRN,CD9
NLGN1,NRXN1
DIS3L,EXOSC3
TCF25,SAT1
DDX19A,MIF4GD
OTUD7B,UBC
OTUB1,UBE2N
NEDD4,PTEN
NSMCE4A,NSMCE3
NRBF2,PIK3R4
RALBP1,RALB
ANAPC4,ANAPC5
DDX39B,THOC1
EGLN2,HIF1A
TRAF6,TNFRSF11A
LCK,CD4
FRS2,GRB2
WAPL,RAD21
UBE2E3,RNF5
CSTA,CTSB
ANAPC2,CDC20
BBS7,BBS4
PPP1CA,TP53BP2
BCORL1,PCGF1
LRPAP1,VLDLR
MPP2,LIN7A
ORC3,ORC4
SPTA1,SPTB
CDK8,MED10
BBS7,BBS2
TRDN,RYR1
EP300,STAT3
EIF4A3,RBM8A
BLOC1S6,BLOC1S1
PDCD6IP,ALG2
UBXN2B,VCP
OPTN,TNIP1
BCL2L1,BMF
GAB1,PIK3R1
ORC4,ORC5
STAM2,STAMBP
SMAD4,SKIL
MEIS1,PBX1
PPARGC1A,HNF4A
GABARAP,ATG4B
PAFAH1B1,NDEL1
MED10,MED7
HDAC1,RBBP7
DCAF7,DYRK1B
ANAPC2,CDC16
WDR5,KMT2C
POLD1,POLD2
MAP3K2,MAP2K5
ATG4B,MAP1LC3A
HOOK1,AKTIP
EXOSC7,EXOSC2
CDK19,MED12
CDKN1A,CCNE2
PRKAA2,PRKAB2
NEK6,NEK9
CKS1B,CDK1
USP22,ATXN7
NEDD8,NAE1
SMAD4,TRIM33
NR1H3,RXRB
FBXL5,IREB2
UBE2D1,RNF7
VPS4A,CHMP2A
YAP1,AMOTL1
FOXK1,BAP1
TRIB1,COP1
SUCLG2,SUCLG1
FLT1,VEGFB
TRAF6,IKBKG
TRAF2,MAP3K14
HFE,B2M
VPS50,VPS51
PAF1,WDR61
HSD17B14,CA8
NPPB,NPR3
GTF2H2,GTF2H4
POLR2E,URI1
OPTN,RAB8A
PSME1,PSME2
ATG4B,GABARAPL1
MCM6,MCM7
CTNNA1,CDH1
TIMM8A,TIMM13
CWC22,EIF4A3
CKS2,CDK1
VCP,FAM104A
VPS11,VPS18
EGFR,STAT3
YAP1,AMOTL2
USH1C,CDH23
CNNM3,PTP4A2
LMTK2,PPP1CC
POLK,REV1
FRS2,FGFR1
NFE2L2,MAFK
PEX12,PEX5
TRIP13,MAD2L1BP
WDR5,MBIP
ARID1B,SMARCA4
HACE1,RAC1
GDNF,GFRA1
CBLIF,CUBN
COPS5,COPS3
BMP2,ACVR2A
RNF4,SUMO2
ID2,TCF4
AP1G1,RABEP1
HAAO,GAD1
IGF1,IGFBP4
EFNA5,EPHA3
PSMD14,PSMD7
PES1,WDR12
LAMTOR1,RRAGC
TMED2,TMED10
ATG16L2,ATG5
CDH5,CTNNB1
CDK2,H1-0
SMC5,SMC6
SKA1,SKA3
TGFB1,TGFBR1
KIF3A,KIFAP3
PPARG,NCOA3
TAF6L,TAF9
HSPA4,BAG1
FBXW11,CUL1
UBQLN1,SERPINI2
BRD8,MORF4L1
FBXW2,CUL1
CDK2,SPDYA
UHRF1,H3-4
PAK1,NCK2
VPS4A,CHMP1A
SMURF1,UBE2L3
SMARCB1,SMARCE1
ATG14,NRBF2
MDM2,TP73
LMO2,LDB1
PDCL,PSMC5
STRN3,STK24
TNRC6B,AGO2
PRMT5,CLNS1A
PHC2,PCGF2
GDF2,ACVRL1
BMPR1A,GDF5
JADE1,ING5
GGA2,IGF2R
FBXO4,TERF1
PSMA4,PSMA7
ASH2L,KMT2B
PSMC1,PSMC2
USP7,GMPS
RCHY1,UBE2D2
PDCD6IP,CEP55
F8,VWF
CST3,CTSB
KATNBL1,KATNAL1
SERPINA5,PLAU
FBXO7,SKP1
MICU1,MCU
CD40,CD40LG
CREBBP,HIF1A
BRF1,TBP
ID3,TCF4
IRAK1,PELI2
EIF2S1,EIF2AK2
POLD3,POLD2
SNAPC2,SNAPC4
MAPK1,PTPN7
PHLPP1,USP1
XIAP,RIPK2
RING1,PCGF1
TTC8,BBS4
CASK,LIN7A
HIF1A,HSP90AA1
ICAM3,MSN
ERBB2,SHC1
AP1S1,AP1G1
MAPRE2,MAPRE3
STK38L,MOB1B
COPS7A,COPS3
STX11,SNAP23
DNMT1,DNMT3B
UPF3B,RBM8A
CSF2RB,JAK2
TSC2,YWHAB
ANAPC16,ANAPC4
CDKN1A,SKP2
TAF4,TAF10
ID2,TCF3
PPARGC1A,ESRRA
GRIK2,GRIK5
RRM2B,RRM1
CX3CR1,CX3CL1
SMAD1,SMURF2
SKP1,FBH1
ANAPC2,ANAPC5
BTG1,CNOT8
GFRAL,GDF15
CRYBA1,CRYBB1
ASB1,CUL5
COPS8,COPS5
PIK3CD,PIK3R1
IL7,IL7R
EIF3A,EIF3D
CDK6,RB1
MAPK14,DUSP1
SMARCAL1,RPA2
BAX,BCL2L2
PPP1CA,CSRNP2
ULK1,RB1CC1
CHD4,HDAC1
MCM2,MCM4
KIFAP3,NCF2
RARA,NCOA3
ZBTB8A,ZNF276
ITGA3,ITGB1
ATF2,MAPK9
KPNB1,RANBP1
ITGAV,ITGB6
ORC3,ORC1
STAMBP,GRAP2
WDR61,CTR9
HLA-DRA,HLA-DRB1
PTPRC,CD22
CETN2,XPC
H1-1,CDK1
RBCK1,IKBKG
STX4,STXBP3
RAD51,BLM
FASLG,FADD
FRAT2,GSK3B
AUP1,UBE2G2
LRPAP1,SORL1
RAMAC,RNMT
FTH1,FTL
ILF2,ILF3
ANAPC2,ANAPC1
PDGFA,PDGFRA
CRY1,FBXL3
PPP1CA,PPP1R9B
BMP2,BMPR1B
ACKR1,CXCL8
BBS9,BBS4
PTPN6,CD72
TICAM1,TLR3
SNX6,SNX2
PARP1,XRCC1
EPS15,EPN1
RNF2,PCGF6
POT1,TERF2
PLXNB1,ARHGEF11
SMURF1,UBE2D3
BBS9,BBS2
NEDD4,NDFIP2
KLKB1,KNG1
FHL3,KLF3
CSNK1A1,MDM4
DDX19B,MIF4GD
POLD1,POLD4
WWTR1,LATS1
E2F4,TFDP2
CTDSP2,CDCA3
STAT1,PIAS1
ASF1A,H3-3A
ITGA9,ITGB1
LCK,ZAP70
FYB1,FYN
MDFI,ZNF559
E2F4,LIN9
GTF2H1,GTF2H3
FLCN,FNIP1
ERCC3,GTF2H5
PHC1,CBX8
ICOSLG,ICOS
CNTF,CNTFR
CERT1,CSNK1G2
ORC1,ORC4
SMARCAL1,RPA1
KIFAP3,KIF3B
DYDC1,NME5
RPA1,ATRIP
PPP1R3C,EPM2A
YAF2,RING1
FLT4,VEGFC
GABARAP,SQSTM1
MALT1,CARD11
ANG,RNH1
ATF2,JUN
BIRC3,TRAF2
PPP1CC,TP53BP2
NSMCE3,SMC6
ZNF446,ZSCAN9
STUB1,UBE2N
TSG101,VPS37B
CASP3,CASP8
SEMA4D,PLXNB1
CDK9,AFF1
KAT2A,ATXN7L3
RAN,RANBP2
ANAPC2,ANAPC11
SCAND1,PGBD1
PHKA2,PHKG2
MAPK14,RPS6KA4
TAF6,TAF10
PYGO1,BCL9
LRRK2,MSN
PSMA1,PSMA4
MTMR3,MTMR4
KIF3A,KIF3B
FBXL5,CUL1
CDK5,MAPT
APAF1,CYCS
AEBP2,JARID2
MID1,UBE2D3
CR2,CD19
TDRD3,TOP3B
CSNK1E,PER2
ZDHHC22,TRIM59
ETF1,GSPT1
ITGB3,TLN1
GSK3A,AXIN1
RCHY1,TP53
AFF4,MLLT3
BBS12,MKKS
AMOT,NF2
FBP1,FBP2
ARPC4,ARPC1B
RCOR1,HDAC2
PRELID1,TRIAP1
SMAD3,SKIL
RUVBL2,ACTL6A
GABRA1,GABRG2
RBP4,TTR
HACE1,UBE2L3
NKX2-5,TBX5
MSL1,KAT8
WRN,XRCC5
ORC6,ORC3
UBA1,UBE2B
DLL1,NOTCH2
EIF3E,EIF3A
RAB5A,RABEP1
FKBP5,HSP90AA1
WDR48,WDR20
ZKSCAN4,ZSCAN32
FCGR2B,INPP5D
COPS6,GPS1
SKP1,RBX1
EXOC1,EXOC4
CPLX1,SNAP25
MTR,MTRR
TP53RK,GON7
GSE1,RCOR3
SENP2,SUMO3
FGA,FGG
RBBP4,SAP30
NME1,NME3
DCUN1D1,CUL1
NCOA6,RBBP5
EHMT2,EHMT1
ERCC8,DDB1
EXOC8,RALB
H2AX,NBN
ZNHIT1,ACTR6
FBXO46,SKP1
CEP290,IQCB1
BAK1,BAX
YWHAQ,BAD
NFKB1,NFKB2
EIF4E,EIF4G3
PHETA1,OCRL
STAT6,NCOA1
HJV,TMPRSS6
ID3,TCF3
LMO4,LDB1
PDS5B,RAD21
IFI35,NMI
PPP2R3B,PPP2R1A
PPP1CB,PPP1R7
MLXIP,MLX
EGFR,ERRFI1
THOC2,THOC5
EHMT2,WIZ
RRAGA,RPTOR
NRBF2,PIK3C3
STK38L,MOB1A
GRB2,SOS2
CDK9,MLLT3
KDM1A,ZNF217
BMI1,CBX2
BACH1,MAFK
EGFR,CBLB
PUF60,SAP30BP
MMP9,TIMP1
FBXW11,WEE1
PYCARD,NLRC4
DOK1,ABL1
GET4,BAG6
AP4B1,TEPSIN
CRY1,PER1
MLLT1,MLLT3
VPS35,SNX3
EXOSC2,EXOSC10
UBE2F,RNF7
RAB27B,SYTL5
WWTR1,TEAD3
SUMO3,UBE2I
DDIT3,FOS
STAMBP,CHMP1A
BIRC7,CASP9
PBRM1,SMARCC2
CHRNA3,CHRNB2
CASP10,CFLAR
EHD1,RBSN
PIK3R1,GAB2
EIF4A1,PDCD4
RAB27A,SYTL3
UBE2D1,UBE3A
LLGL2,PRKCI
ASF1B,CHAF1B
POLR1D,POLR1C
PPP1CB,PPP1R11
NCOA6,ASH2L
MED1,MED25
IRAG1,PRKG1
NAE1,UBE2M
PDCD6,SEC31A
MAP3K5,MAP2K3
POLE,POLE2
RARB,RXRB
BUD23,TRMT112
SP1,SP3
DMD,SNTA1
FKBP4,HSP90AA1
CAMK2A,CAMK2D
FNTA,PGGT1B
STK3,STK4
SGF29,KAT2A
ATOX1,ATP7A
POLR1A,POLR1B
DAXX,FAS
LSM6,LSM2
C9orf72,WDR41
CALCRL,RAMP2
PECR,PEX5
PLXNA1,NRP1
BIRC2,UBE2D1
BAG6,UBL4A
PRKCZ,PARD6G
CAND1,CUL4A
GRB2,GAREM1
CBX3,CBX5
NTF4,NTRK2
LEO1,WDR61
ARPC1B,ACTR3
RAB3IP,RAB8A
EXOC5,EXOC6
ANKRD28,PPP6C
DRAP1,POLE3
INO80E,YY1
TP53,TP53BP1
PIK3CB,PIK3R1
UBC,UBE2N
JUN,MAPK10
SEPTIN6,SEPTIN5
AP4B1,AP4E1
GRIA1,GRIA2
ABI1,ABL1
UHRF1,USP7
MICU1,MICU2
PPP2CB,PPP2R1A
SH2B1,JAK2
AP2S1,AAGAB
CDKN1A,CCNA1
ANAPC1,CDC20
HDAC2,RBBP4
RRAGA,LAMTOR2
GATAD1,KDM5A
ANAPC4,CDC23
CNNM4,PTP4A1
RNF2,CBX2
CDK8,MED25
EIF3B,EIF3G
TOPBP1,BRIP1
ABL1,CBL
PSMA2,PSMA6
IGF1,IGF1R
OAZ1,AZIN1
BOP1,PES1
LLGL2,PARD6B
ABI1,NCKAP1
PIDD1,CASP2
CTNNA1,JUP
DNAL4,FHL5
NECTIN1,NECTIN4
CUL9,TP53
RANBP2,UBE2I
LSM6,LSM1
LYN,GP6
CUL1,CCNF
EGR2,PER3
FBXL12,SKP1
GGA3,ARF6
PAK2,CDC42
RBBP7,SAP30
FGF14,SCN8A
STAG2,SMC1A
PTPN12,SHC1
BAK1,BID
IL6,IL6ST
COL17A1,ITGB4
HDAC2,MBD2
PHLPP1,USP46
ID1,TCF3
CRX,GCM2
MED1,MED12
USP46,WDR20
FGFR1,PLCG1
GADD45A,PCNA
WAPL,SMC3
ARPC5,ARPC4
PSMA1,PSMA7
LIG4,NHEJ1
FBXL8,SKP1
AMFR,INSIG1
SF3B1,SF3B6
NRBF2,BECN1
RPTOR,RRAGC
VPS28,UBAP1
SNF8,CHMP6
KHDRBS1,RASA1
AR,NCOR1
COPS6,COPS2
DYRK1A,RNF169
MED1,MED13
PPME1,PPP2CA
GABARAPL2,SQSTM1
PMAIP1,BCL2L1
ARFIP2,RAC1
TTC8,BBS1
MARK3,YWHAZ
YWHAQ,HDAC4
H2AX,ATM
ELP4,ELP1
ZNF446,PGBD1
SUMO1,PIAS2
PPARA,RXRA
SMARCB1,ARID1A
PTPN18,PSTPIP2
IRAK2,TRAF6
GYG1,GYS1
RAD51AP1,WDR48
SPA17,AKAP7
ANAPC13,CDC23
ERCC3,GTF2H4
SUZ12,JARID2
CYLD,SPATA2
DNAAF10,RPAP3
MAPK1,PTPRR
RNF2,KDM2B
IFT81,IFT74
NCKAP1,CYFIP1
CYTH1,CYTIP
DCP2,EDC4
XRN2,CDKN2AIPNL
KLHL2,KLHL12
ATP8A1,TMEM30A
WDR5,NCOA6
APPL2,RAB22A
CENPX,FANCM
EXOSC10,EXOSC4
E2F3,RB1
SULT1A1,SULT2B1
CTBP1,ZNF217
HGFAC,SPINT1
RING1,PCGF6
BLOC1S6,BLOC1S5
ELL2,AFF4
SDCBP2,CT45A3
ING1,SAP30
MCM6,MCM10
ARL2,TBCD
CBX8,RING1
PPP2R1A,PPP2R5E
NDC80,SPC25
EXOSC10,EXOSC5
EIF4A1,EIF4G2
RRAS2,RIN1
CDK8,MED7
GAGE12F,GMCL1
MCM9,MCM8
GLI3,SUFU
LAMTOR2,RRAGC
SETD1B,WDR82
RNF41,TTC1
PPP1CA,PPP1R10
RNF41,VPS52
SMAD6,SMURF1
YAP1,TEAD2
PRL,PRLR
BAK1,BCL2
RAB5A,RBSN
MMS22L,TONSL
IKBKG,BCL10
PTPN12,PXN
BRINP1,SIRT1
MNAT1,CCNH
MED16,MED10
GPSM2,INSC
INO80C,INO80E
CRYAB,HSPB1
LSM1,LSM2
THRB,NCOR2
ITGA6,ITGB1
DLG1,KCNA4
CRY2,PER2
SUZ12,PHF1
USP18,ISG15
ARR3,ZNF496
MEIS2,PBX1
PPP2R1A,PPP2R5A
HLA-A,B2M
FLNA,ITGB7
ELOB,ELOA
ERCC5,GTF2H1
USP25,UBC
EHD1,MICALL1
C5,C6
EEF2KMT,PRTFDC1
LTA,TNFRSF1A
CDK2,RBL2
KAT7,ING5
DCP1B,DCP1A
LMNA,TMPO
CUL3,RBX1
PSMA1,PSMB2
BRCA1,BRCA2
FASLG,CASP8
IL1R1,TRAF6
ERCC3,CCNH
HOOK2,AKTIP
PARVB,ILK
TAF4,TAF12
PRDM14,CBFA2T2
XIAP,SEPTIN4
HSF1,HSF2
BBS5,BBS1
MAVS,TRAF2
CYBA,CYBB
ANAPC16,CDC27
MRGBP,VPS72
UPF3B,EIF4A3
GP1BA,YWHAZ
TANK,IKBKE
IL11,IL11RA
POLR3G,POLR3C
MLH3,MLH1
RBPMS,PITX1
NEDD8,NUB1
NUP43,NUP107
CNOT7,CNOT6
GTF2I,BTK
BCOR,BCL6
DCUN1D1,CUL2
ITGAM,ITGB2
WDR5,KANSL1
GABPA,GABPB1
PEX13,PEX5
KCNJ3,KCNJ5
TOPBP1,E2F1
BMI1,PHC3
PPP1R13B,PPP1CA
CCR5,CCL3
MED10,MED30
ESRRA,ESRRG
CHAF1A,CHAF1B
CNNM2,PTP4A2
COPS7A,COPS2
CNKSR1,CYTH3
RNF2,PCGF5
ANAPC2,CDC23
SMN1,SMN2
ATMIN,ATM
GTF2H4,GTF2H5
KCTD6,CUL3
CASC3,UPF3B
PPP1R13L,PPP1CB
CREB1,CRTC1
AKR7A3,AKR7A2
SMARCE1,ARID1A
DPYSL2,DPYSL3
SMAD2,TGFBR1
CIITA,RFX5
ASB7,CUL5
MED30,MED12
CPLX1,VAMP2
HMG20B,KDM1A
MERTK,GAS6
AEBP2,EED
KDM1A,HDAC2
POU2AF1,POU2F1
CETN1,SGSM1
STRN3,SIKE1
FAN1,PMS1
GUCY1A2,GUCY1B1
AIPL1,NUB1
CD2AP,CD2
